customer_id,transaction_id,age,gender,account_type,branch,account_open_date,transaction_date,balance_amount,currency,transaction_amount,transaction_type,credit_score,loan_amount,loan_status,loan_approved,occupation,annual_income,email,notes,income_flag,has_negative_income
CUST-2723,TXN802843,27.0,Male,Savings,Los Angeles,2018-04-17,2018-11-15,1752.31,GBP,300.42,Deposit,676.0,4527.56,Default,No,Lawyer,4645.03,chris.davis@gmail.com,Auto-debit setup confirmed,Normal,False
CUST-2134,TXN845682,39.0,Male,Savings,Los Angeles,2020-04-04,2022-11-14,989.62,USD,358.67,ATM,522.0,78990.79,Active,No,Doctor,6180.67,alex.jones@bank.org,Customer flagged for review,Normal,False
CUST-1534,TXN886476,43.0,Female,Current,New York,2019-03-22,2020-04-13,7367.11,NGN,779.27,Withdrawal,636.0,8441.53,Default,No,Engineer,6180.67,lee.taylor@bank.org,Account dormant >6 months,Normal,False
CUST-1595,TXN608013,45.0,Female,Checking,New York,2022-06-30,2024-02-02,1312.88,USD,510.31,Wire Transfer,783.0,30960.3,Default,Yes,Engineer,6180.67,alex.smith@outlook.com,Customer flagged for review,Normal,False
CUST-1852,TXN132011,37.0,Unknown,Fixed Deposit,Phoenix,2022-11-21,2024-04-29,5808.98,EUR,1440.72,Wire Transfer,661.0,11662.58,Closed,No,Accountant,11324.65,mikejonesgmail.com,Loan disbursed to account,Normal,False
CUST-2086,TXN920256,67.0,Female,Savings,New York,2018-01-05,2024-01-05,8923.45,GBP,2564.82,Wire Transfer,482.0,-416.13,Default,No,unknown,4688.24,chris.wilson@yahoo.com,Loan disbursed to account,Normal,False
CUST-2681,TXN964990,51.0,Female,Savings,Phoenix,2020-02-23,2024-06-30,145.13,GBP,123.86,ATM,626.0,3503.44,Closed,Yes,Engineer,6180.67,jane.jones@bank.org,KYC documents pending,Normal,False
CUST-2104,TXN145011,54.0,Male,Fixed Deposit,Los Angeles,2024-01-22,2024-05-27,460.9,USD,177.08,Wire Transfer,647.0,2938.11,Closed,No,Teacher,6180.67,pat.anderson@,KYC documents pending,Normal,False
CUST-2588,TXN347011,64.0,Male,Current,New York,2021-04-14,2023-10-06,219.46,NGN,307.07,Deposit,468.0,6606.9,Default,No,Lawyer,15837.14,jane.miller@outlook.com,Unknown,Normal,False
CUST-1719,TXN560359,48.0,Female,Current,Chicago,2023-07-29,2024-12-03,1470.43,USD,311.42,Wire Transfer,756.0,2236.88,Default,Yes,Teacher,6180.67,Unknown,Unknown,Normal,False
CUST-1359,TXN682324,48.0,Male,Fixed Deposit,New York,2020-05-20,2022-12-25,2741.74,USD,566.78,Wire Transfer,656.0,13887.66,Default,Yes,Accountant,6180.67,taylor.jackson@yahoo.com,Loan disb,Normal,False
CUST-1724,TXN988168,60.0,Male,Fixed Deposit,Chicago,2024-04-22,2024-06-06,683.04,NGN,618.64,Withdrawal,685.0,5752.85,Closed,No,Engineer,1988.57,jane.davis@bank.org,Unknown,Normal,False
CUST-2677,TXN942032,52.0,Female,Fixed Deposit,Chicago,2022-11-29,2024-06-18,6149.86,NGN,548.87,ATM,623.0,37047.35,Default,No,Lawyer,6180.67,john.jones@outlook.com,Unknown,Normal,False
CUST-2023,TXN961337,34.0,Male,Fixed Deposit,Los Angeles,2023-02-09,2023-08-04,-99999.0,EUR,-39847.58,Withdrawal,647.0,1644.59,Default,Yes,unknown,6180.67,Unknown,Auto-debit setup confirmed,Normal,False
CUST-2061,TXN462573,74.0,Female,Savings,New York,2018-01-15,2024-04-09,8757.15,USD,1701.42,Deposit,598.0,42845.33,Default,No,Engineer,4688.24,morgan.smith@gmail.com,Account dormant >6 months,Normal,False
CUST-2092,TXN905528,56.0,Male,Fixed Deposit,Chicago,2020-06-09,2023-06-19,4726.87,EUR,1783.28,Withdrawal,755.0,3379.77,Unknown,Unknown,Teacher,6660.57,taylor.moore@gmail.com,Loan disbursed to account,Normal,False
CUST-1809,TXN968015,48.0,Female,Fixed Deposit,Chicago,2022-05-19,2022-09-06,431.62,USD,94.63,Deposit,661.0,4384.7,Unknown,Yes,Teacher,925.08,mike.jackson@yahoo.com,KYC documents pending,Normal,False
CUST-1658,TXN855608,26.0,Male,Savings,New York,2018-07-23,2022-10-14,1759.66,USD,621.65,Wire Transfer,584.0,7580.255,Active,Yes,Lawyer,4688.24,john.smith@yahoo.com,Unknown,Normal,False
CUST-1531,TXN218124,52.0,Male,Fixed Deposit,Los Angeles,2021-05-05,2021-12-15,14166.96,USD,2830.1,Wire Transfer,703.0,2774.27,Default,Yes,Lawyer,6156.41,pat.davis@bank.org,Loan disbursed to account,Normal,False
CUST-2784,TXN403696,21.0,Unknown,Checking,New York,2018-01-22,2020-06-03,963.14,EUR,79.4,Deposit,606.0,28677.15,Default,No,Teacher,2990.38,Unknown,Auto-debit setup confirmed,Normal,False
CUST-3037,TXN850702,35.0,Female,Savings,Los Angeles,2019-02-22,2022-12-13,6891.49,EUR,1724.23,Withdrawal,647.0,3318.36,Closed,Yes,Doctor,11009.02,morgan.brown@gmail.com,Transaction verified by branch None,Normal,False
CUST-2726,TXN192462,31.0,Male,Checking,Los Angeles,2019-09-02,2024-02-27,3827.46,USD,905.39,Withdrawal,647.0,2943.5,Active,Unknown,unknown,6180.67,john.taylor@yahoo.com,Transaction verified by branch los angeles,Normal,False
CUST-2779,TXN827013,66.0,Female,Savings,Chicago,2018-04-28,2021-12-15,15165.08,EUR,-500.0,Wire Transfer,647.0,7580.255,Closed,No,unknown,30832.54,lee.brown@yahoo.com,Account dormant >6 months,Normal,False
CUST-2943,TXN312571,41.0,Male,Fixed Deposit,Los Angeles,2023-09-26,2024-09-05,4257.61,EUR,1781.99,Deposit,574.0,4691.9,Closed,Yes,Teacher,3584.65,sara.davis@bank.org,KYC documents pending,Normal,False
CUST-2982,TXN844624,47.0,Female,Savings,New York,2019-01-18,2020-12-10,2285.29,GBP,137.16,ATM,618.0,7580.255,Default,Yes,Engineer,6180.67,chris.brown@,Unknown,Normal,False
CUST-2621,TXN838659,46.0,Female,Savings,Los Angeles,2020-08-11,2022-04-25,5407.65,EUR,1767.2,ATM,681.0,5927.29,Default,Yes,Teacher,1194.46,Unknown,Loan disbursed to account,Normal,False
CUST-2840,TXN870629,67.0,Male,Savings,Los Angeles,2021-03-11,2023-10-14,2090.57,GBP,-178.66,Deposit,665.0,3459.29,Closed,No,Engineer,4688.24,chris.anderson@bank.org,Unknown,Normal,False
cust2008,TXN502697,45.0,Female,Savings,Los Angeles,2021-12-24,2022-08-15,866.31,EUR,9999999.0,Withdrawal,647.0,6996.37,Active,Yes,Accountant,6180.67,jane.jones@outlook.com,Customer flagged for review,Normal,False
cust1750,TXN354471,48.0,Male,Checking,Los Angeles,2018-09-19,2021-10-03,2061.9,GBP,810.61,Wire Transfer,434.0,7674.86,Active,No,Accountant,1403.72,taylor.smith@bank.org,Transaction verified by branch los angeles,Normal,False
CUST-3156,TXN767992,48.0,Male,Savings,Los Angeles,2018-09-29,2020-11-20,207.69,USD,-145.2,Deposit,588.0,33983.32,Active,No,Engineer,1218.86,chris.jones@outlook.com,Unknown,Normal,False
CUST-1068,TXN820221,65.0,Female,Checking,New York,2019-05-26,2023-02-19,1012.56,EUR,13.18,Wire Transfer,734.0,11425.67,Active,Yes,Engineer,6180.67,mike.jones@outlook.com,Loan disbursed to account,Normal,False
CUST-2901,TXN408889,63.0,Male,Checking,Chicago,2021-06-06,2024-03-13,29147.88,USD,9940.85,ATM,720.0,63022.49,Default,Yes,Teacher,13600.54,morgan.moore@bank.org,Account dormant >6 months,Normal,False
cust6084,TXN618510,22.0,Male,Checking,Los Angeles,2023-07-08,2023-11-28,22658.81,USD,11254.02,Wire Transfer,653.0,1927.71,Default,Yes,Accountant,31235.02,morgantaylorgmail.com,Account dormant >6 months,Normal,False
CUST-1433,TXN975761,47.0,Female,Checking,Los Angeles,2019-01-12,2023-07-21,4666.34,EUR,1979.13,Withdrawal,615.0,25551.36,Active,No,Engineer,8370.19,pat.wilson@bank.org,Customer flagged for review,Normal,False
CUST-1501,TXN326735,67.0,Female,Fixed Deposit,Los Angeles,2021-11-27,2024-05-14,2759.79,USD,987.84,Withdrawal,750.0,3275.64,Closed,Yes,Engineer,777.69,john.miller@bank.org,Transaction verified by branch None,Normal,False
CUST-1496,TXN956505,28.0,Female,Savings,Los Angeles,,2024-02-15,750.64,USD,-287.29,Wire Transfer,627.0,7580.255,Default,No,Lawyer,11064.36,john.smith@outlook.com,Transaction verified by branch LA,Normal,False
CUST-2060,TXN404562,65.0,Unknown,Fixed Deposit,Los Angeles,2018-03-29,2018-06-04,894.78,EUR,534.34,Deposit,647.0,4602.82,Active,Yes,Teacher,4688.24,pat.jones@yahoo.com,KYC documents pending,Normal,False
CUST-2019,TXN130719,48.0,Female,Checking,New York,2018-01-23,2024-04-08,1248.85,EUR,3.09,ATM,718.0,12304.01,Default,Yes,Teacher,1160.95,taylor.brown@yahoo.com,Unknown,Normal,False
CUST-1933,TXN514250,74.0,Male,Current,Houston,2024-03-19,2024-04-01,12072.1,GBP,938.3,Deposit,706.0,135219.47,Active,Yes,Doctor,16480.59,john.wilson@gmail.com,Loan disbursed to account,Normal,False
CUST-1381,TXN170060,44.0,Female,Savings,Los Angeles,2022-09-13,2023-05-25,2350.08,EUR,480.31,Wire Transfer,575.0,5201.58,Active,No,Teacher,6180.67,chris.davis@outlook.com,Unknown,Normal,False
CUST-2636,TXN331265,24.0,Male,Checking,Houston,2023-06-15,2023-08-27,604.84,GBP,312.01,Withdrawal,565.0,2835.42,Closed,No,unknown,6180.67,sara.jackson@bank.org,KYC documents pending,Normal,False
CUST-1181,TXN674765,31.0,Female,Savings,New York,2019-03-29,2020-01-28,228.22,USD,284.38,Deposit,640.0,27940.05,Active,Yes,Doctor,6180.67,mike.miller@outlook.com,Customer flagged for review,Normal,False
CUST-1407,TXN718312,32.0,Male,Checking,Chicago,2023-09-17,2023-12-03,-1.0,EUR,511.45,Deposit,604.0,9745.41,Active,No,Doctor,7710.07,sara.wilson@outlook.com,Loan disbursed to account,Normal,False
CUST-2836,TXN403446,28.0,Male,Checking,New York,2021-01-29,2024-05-26,1215.1,GBP,147.61,Wire Transfer,647.0,7843.94,Default,Yes,Lawyer,5700.18,morgan.miller@bank.org,KYC documents pending,Normal,False
CUST-1730,TXN463688,22.0,Male,Savings,New York,2018-04-27,2022-06-02,2591.31,USD,666.35,Deposit,528.0,11176.77,Closed,Yes,Engineer,10576.58,john.taylor@gmail.com,Account dormant >6 months,Normal,False
CUST-1366,TXN581498,56.0,Female,Fixed Deposit,New York,2021-09-18,2023-09-27,-99999.0,GBP,-49613.0,Withdrawal,656.0,7340.12,Active,No,Doctor,6180.67,lee.moore@outlook.com,Customer flagged for review,Normal,False
CUST-3090,TXN782977,36.0,Female,Savings,Los Angeles,2022-03-20,2023-03-22,744.42,EUR,117.66,Withdrawal,664.0,11949.26,Closed,Yes,Lawyer,6180.67,morgan.brown@yahoo.com,Auto-debit setup confirmed,Normal,False
CUST-2177,TXN352327,30.0,Male,Fixed Deposit,New York,2021-04-14,2024-05-02,7334.32,GBP,1022.28,ATM,794.0,7580.255,Active,Yes,Lawyer,4688.24,alex.davis@outlook.com,Loan disbursed to account,Normal,False
CUST-1568,TXN849005,42.0,Male,Savings,Houston,2021-09-13,2021-12-14,-99999.0,USD,-14665.72,Withdrawal,652.0,2731.9,Closed,Yes,Doctor,6180.67,jane.brown@bank.org,Account dormant >6 months,Normal,False
CUST-2885,TXN225738,32.0,Female,Fixed Deposit,Los Angeles,2019-03-06,2024-02-08,36169.79,USD,17306.76,Wire Transfer,718.0,-541.74,Default,Yes,Engineer,32033.69,john.jackson@outlook.com,Unknown,Normal,False
CUST-2475,TXN216353,48.0,Female,Checking,New York,2020-09-11,2023-03-10,12137.85,USD,5376.36,Wire Transfer,652.0,3303.53,Default,No,Accountant,20337.35,chris.brown@bank.org,Transaction verified by branch N.Y.,Normal,False
CUST-1489,TXN970049,57.0,Female,Checking,Los Angeles,2019-03-02,2024-01-22,6764.38,USD,3068.6,Wire Transfer,615.0,7261.85,Active,No,Engineer,6766.12,jane.smith@outlook.com,Customer flagged for review,Normal,False
CUST-1211,TXN817999,23.0,Male,Checking,Houston,2018-04-10,2022-03-12,10441.44,USD,2132.02,Deposit,692.0,7580.255,Active,Yes,Accountant,0.0,morgan.wilson@outlook.com,Auto-debit setup confirmed,Normal,False
CUST-2760,TXN673372,46.0,Female,Fixed Deposit,New York,2018-12-17,2022-04-06,1330.13,USD,407.74,Wire Transfer,656.0,6074.43,Default,Yes,Doctor,4688.24,Unknown,Account dormant >6 months,Normal,False
cust6937,TXN759062,57.0,Female,Fixed Deposit,New York,2021-07-17,2023-11-02,1495.49,USD,180.02,Wire Transfer,545.0,5276.51,Active,Yes,Accountant,6033.21,taylor.smith@outlook.com,Unknown,Normal,False
CUST-2425,TXN519511,69.0,Male,Savings,Los Angeles,2022-04-26,2024-01-24,1955.21,EUR,405.07,Deposit,647.0,7580.255,Default,No,Teacher,2353.16,lee.smith@gmail.com,Unknown,Normal,False
CUST-3008,TXN677092,23.0,Male,Current,Los Angeles,2018-01-22,2021-01-31,20285.31,USD,618.64,ATM,647.0,4224.08,Default,Yes,Accountant,14380.15,taylor.miller@bank.org,Unknown,Normal,False
CUST-2724,TXN663140,75.0,Male,Current,New York,2020-10-10,2022-08-16,411.53,USD,73.57,Deposit,752.0,7653.66,Default,Yes,Engineer,1008.7,Unknown,Auto-debit setup confirmed,Normal,False
CUST-1811,TXN463674,44.0,Male,Fixed Deposit,Chicago,2023-07-17,2023-12-15,1666.45,EUR,29.28,ATM,611.0,2309.68,Active,Yes,Lawyer,1112.08,pat.moore@bank.org,Unknown,Normal,False
CUST-1169,TXN594596,67.0,Female,Checking,Houston,2020-12-27,2021-04-20,864.16,GBP,299.72,Wire Transfer,683.0,4611.35,Closed,Yes,Teacher,6180.67,john.anderson@yahoo.com,Account dormant >6 months,Normal,False
CUST-2792,TXN569270,63.0,Male,Fixed Deposit,Los Angeles,,2021-11-27,7468.17,NGN,1629.03,Withdrawal,563.0,11420.42,Closed,No,Lawyer,4688.24,jane.moore@outlook.com,Customer flagged for review,Normal,False
CUST-1452,TXN155994,41.0,Male,Savings,New York,2024-05-01,2024-06-21,2488.48,NGN,461.77,Withdrawal,717.0,4744.17,Default,Yes,Accountant,3449.85,lee.jones@outlook.com,Loan disbursed to account,Normal,False
CUST-1664,TXN782841,26.0,Female,Fixed Deposit,Phoenix,2021-08-30,2022-03-06,30676.15,EUR,10448.51,Wire Transfer,683.0,12878.17,Default,Yes,Engineer,29279.83,morgan.anderson@yahoo.com,KYC documents pending,Normal,False
CUST-1603,TXN467411,36.0,Male,Current,Los Angeles,2019-11-19,2021-12-17,23675.15,USD,8092.05,Deposit,705.0,4900.17,Unknown,Yes,Teacher,13695.73,janemillergmail.com,Loan disbursed to account,Normal,False
CUST-1632,TXN525155,70.0,Female,Fixed Deposit,Chicago,2021-05-16,2022-11-04,5209.08,USD,410.28,Wire Transfer,645.0,27544.8,Active,No,unknown,7996.46,taylor.smith@yahoo.com,KYC documents pending,Normal,False
CUST-2262,TXN744925,65.0,Male,Fixed Deposit,New York,2022-09-05,2024-04-07,9327.84,EUR,3662.22,Withdrawal,601.0,38877.95,Active,No,Teacher,12953.88,morgan.taylor@gmail.com,Customer flagged for review,Normal,False
CUST-3135,TXN353585,60.0,Male,Checking,Los Angeles,2020-01-02,2022-01-25,577.24,USD,66.0,Deposit,623.0,7580.255,Active,Yes,Lawyer,4688.24,morgan.jones@yahoo.com,Loan disbursed to account,Normal,False
cust7273,TXN779642,60.0,Female,Fixed Deposit,Los Angeles,2022-01-27,2022-08-20,12540.11,EUR,1505.72,Wire Transfer,674.0,2709.39,Active,Yes,Teacher,1259.41,pat.jones@bank.org,Loan disbursed to account,Normal,False
CUST-2391,TXN805723,31.0,Male,Savings,Chicago,2020-07-20,2021-02-22,1731.04,GBP,225.25,Deposit,642.0,2746.51,Closed,No,unknown,1229.55,leemillergmail.com,Loan disbursed to account,Normal,False
CUST-3062,TXN647175,55.0,Male,Checking,Los Angeles,2023-04-23,2024-01-04,302.33,USD,-80.76,Wire Transfer,715.0,5075.91,Active,Yes,Teacher,6180.67,mike.anderson@yahoo.com,Transaction verif,Normal,False
CUST-1369,TXN663849,69.0,Female,Savings,Houston,2023-02-12,2023-12-20,2940.46,USD,1303.19,Wire Transfer,647.0,7902.81,Default,No,Doctor,5957.71,sara.jackson@bank.org,Customer flagged for review,Normal,False
CUST-1641,TXN574320,41.0,Male,Checking,Chicago,2019-01-17,2022-09-03,5511.79,USD,849.01,ATM,762.0,16283.43,Default,Yes,Teacher,6180.67,mike.wilson@yahoo.com,Transaction verified by branch Chicago,Normal,False
CUST-2960,TXN652997,75.0,Male,Checking,Chicago,2023-05-21,2024-03-06,2852.56,USD,1493.14,Deposit,652.0,31161.58,Active,Yes,Lawyer,6696.87,taylor.brown@bank.org,Loan disbursed to account,Normal,False
CUST-1373,TXN899840,53.0,Male,Savings,Los Angeles,2021-07-09,2024-01-08,2401.55,NGN,50.0,Deposit,697.0,7580.255,Closed,Yes,Lawyer,9123.88,morgan.miller@outlook.com,Customer flagged for review,Normal,False
CUST-2956,TXN750600,68.0,Unknown,Checking,New York,2019-04-05,2023-10-07,2162.69,USD,142.34,Deposit,513.0,3886.47,Active,Unknown,Engineer,331.35,taylor.brown@bank.org,Loan disbursed to account,Normal,False
CUST-2853,TXN399335,30.0,Male,Fixed Deposit,Houston,2019-11-30,2019-12-16,1884.75,GBP,951.11,ATM,647.0,4445.56,Default,Yes,Accountant,5084.31,sara.wilson@gmail.com,KYC documents pending,Normal,False
CUST-2478,TXN509224,46.0,Male,Savings,New York,,2024-06-10,1050.77,USD,537.84,ATM,593.0,6388.11,Unknown,No,Engineer,2737.34,lee.jones@yahoo.com,Unknown,Normal,False
CUST--4279,TXN796860,23.0,Female,Fixed Deposit,New York,2020-11-11,2023-01-24,4789.12,GBP,321.88,Deposit,752.0,1795.02,Default,Yes,Accountant,320.9,morgan.moore@,Customer flagged for review,Normal,False
CUST-1935,TXN427432,19.0,Female,Checking,New York,2020-06-23,2022-11-21,645.78,NGN,134.37,ATM,766.0,7580.255,Closed,Yes,Teacher,4688.24,chris.smith@gmail.com,Account dormant >6 months,Normal,False
CUST-3011,TXN546314,31.0,Male,Savings,Phoenix,2020-08-12,2022-01-26,5667.65,USD,2482.41,ATM,651.0,19765.64,Closed,Yes,Engineer,3455.51,taylor.taylor@bank.org,KYC documents pending,Normal,False
CUST-1519,TXN598235,44.0,Female,Fixed Deposit,Phoenix,2019-01-11,2020-01-31,187117.13,EUR,618.64,Withdrawal,609.0,7898.48,Active,No,Accountant,6180.67,morgan.taylor@bank.org,KYC documents pending,Normal,False
CUST-1451,TXN478873,74.0,Male,Fixed Deposit,Los Angeles,2020-05-21,2021-08-11,8175.2,EUR,2183.42,Wire Transfer,639.0,3057.86,Default,No,Engineer,19020.23,sara.miller@yahoo.com,Loan disbursed to account,Normal,False
CUST-3171,TXN413775,69.0,Male,Fixed Deposit,Houston,2019-10-26,2020-12-31,11252.73,USD,4218.88,Deposit,540.0,7580.255,Default,No,Engineer,19558.9,chris.jones@bank.org,Loan disbursed to account,Normal,False
CUST-1630,TXN527527,58.0,Female,Savings,Phoenix,2022-05-10,2022-10-11,3156.94,USD,733.34,Wire Transfer,626.0,7706.31,Active,Yes,Accountant,17086.01,sara.jackson@gmail.com,Account dormant >6 months,Normal,False
CUST-2127,TXN215715,72.0,Unknown,Savings,Los Angeles,2024-05-15,2024-06-26,2139.73,USD,467.23,Wire Transfer,665.0,88619.72,Unknown,Yes,Teacher,6180.67,john.miller@gmail.com,Transaction verified by branch None,Normal,False
CUST-1492,TXN903664,59.0,Female,Fixed Deposit,New York,,2021-08-29,5834.68,USD,2075.91,Wire Transfer,647.0,2455.47,Default,Yes,Doctor,3360.76,sara.davis@,Account dormant >6 months,Normal,False
CUST-2873,TXN801252,65.0,Female,Savings,Chicago,2019-05-22,2024-03-21,7479.33,GBP,3518.55,ATM,536.0,46737.02,Closed,No,unknown,6180.67,lee.jones@gmail.com,Unknown,Normal,False
CUST-2920,TXN944890,48.0,Female,Fixed Deposit,Chicago,2024-03-07,2024-06-11,2896.67,EUR,590.32,Wire Transfer,542.0,7580.255,Active,No,unknown,5857.59,mike.davis@yahoo.com,Customer flagged for review,Normal,False
CUST-2595,TXN400844,58.0,Male,Checking,New York,2018-03-11,2022-11-03,8767.03,GBP,4169.71,Withdrawal,643.0,15504.44,Active,No,Engineer,4688.24,mike.brown@outlook.com,Unknown,Normal,False
CUST-3058,TXN226422,48.0,Male,Fixed Deposit,Houston,2024-05-17,2024-07-06,4069.65,USD,1712.3,Deposit,797.0,26649.61,Default,Yes,Accountant,1766.41,john.taylor@bank.org,Unknown,Normal,False
CUST-1516,TXN117707,66.0,Male,Checking,New York,2024-05-07,2024-06-18,3261.36,NGN,1619.6,Wire Transfer,758.0,2188.96,Active,Yes,Teacher,4688.24,pat.taylor@gmail.com,Account dormant >6 months,Normal,False
CUST-2959,TXN249449,51.0,Male,Fixed Deposit,New York,2019-10-20,2023-03-29,1075.81,NGN,225.51,Withdrawal,630.0,13215.93,Default,Yes,Lawyer,6180.67,pat.moore@yahoo.com,Unknown,Normal,False
