customer_id,transaction_id,age,gender,account_type,branch,account_open_date,transaction_date,balance_amount,currency,transaction_amount,transaction_type,credit_score,loan_amount,loan_status,loan_approved,occupation,annual_income,email,notes
CUST-2723,TXN802843,27,MALE,Savings,Los Angeles,17-Apr-2018,11/15/2018,1752.31,GBP,300.42,DEPOSIT,676,4527.56,Defaulted,no,Lawyer,4645.03,chris.davis@gmail.com,Auto-debit setup confirmed
CUST-2134,TXN845682,39,M,SAVINGS,Los Angeles,04/04/2020,11/14/2022,989.62,usd,358.67,ATM,522,78990.79,active,no,Doctor,-4789.56,alex.jones@bank.org,Customer flagged for review
CUST-1534,TXN886476,43,FEMALE,Current,N.Y.,22/03/2019,13/04/2020,7367.11,NGN,779.27,Withdrawal,636,8441.53,DEFAULT,No,enginr,-2553.02,lee.taylor@bank.org,Account dormant >6 months
CUST-1595,TXN608013,45,Female,checking,N.Y.,06-30-2022,02/02/2024,1312.88,USD,510.31,Transfer,783,30960.3,DEFAULT,YES,enginr,-4061.07,alex.smith@outlook.com,Customer flagged for review
CUST-1852,TXN132011,37,,FD,Phoenix,11/21/22,04/29/2024,5808.98,eur,1440.72,Transfer,661,11662.58,closed,no,Accountant,11324.65,mikejonesgmail.com,Loan disbursed to account
CUST-2086,TXN920256,67,F,savings,new york,01-05-2018,2024-01-05,8923.45,GBP,2564.82,Transfer,482,-416.13,Default,No,,,chris.wilson@yahoo.com,Loan disbursed to account
CUST-2681,TXN964990,51,F,SAVINGS,Phoenix,02-23-2020,2024-06-30,145.13,GBP,123.86,atm,626,3503.44,Closed,YES,Engineer,-3432.74,jane.jones@bank.org,KYC documents pending
CUST-2104,TXN145011,54,MALE,FD,LA,22/01/2024,05/27/2024,460.9,USD,177.08,Wire Transfer,,2938.11,closed,NO,Teacher,-5967.09,pat.anderson@,KYC documents pending
CUST-2588,TXN347011,64,Male,Current,New York,14-Apr-2021,2023-10-06,219.46,NGN,307.07,Deposit,468,6606.9,DEFAULT,NO,LAWYER,15837.14,jane.miller@outlook.com,
CUST-1719,TXN560359,,F,Current,Chicago,29-Jul-2023,12/03/2024,1470.43,usd,311.42,Wire Transfer,756,2236.88,Defaulted,Yes,Teacher,-6414.76,,
CUST-1359,TXN682324,,M,Fixed Deposit,N.Y.,20-May-2020,12/25/2022,2741.74,usd,566.78,wire transfer,656,13887.66,Defaulted,YES,accountanf,-2196.81,taylor.jackson@yahoo.com,Loan disb
CUST-1724,TXN988168,60,M,fixed deposit,Chicago,04-22-2024,06/06/2024,683.04,NGN,,withdrawal,685,5752.85,Closed,NO,enginr,1988.57,jane.davis@bank.org,
CUST-2677,TXN942032,52,female,Fixed Deposit,Chicago,2022-11-29,2024-06-18,6149.86,NGN,548.87,atm,623,37047.35,Default,NO,LAWYER,-50000,john.jones@outlook.com,
CUST-2023,TXN961337,34,M,FD,,09-Feb-2023,08/04/2023,-99999,eur,-39847.58,Withdrawal,647,1644.59,DEFAULT,Yes,,-55879.62,,Auto-debit setup confirmed
CUST-2061,TXN462573,74,FEMALE,savings,New York,2018-01-15,2024-04-09,8757.15,USD,1701.42,DEPOSIT,598,42845.33,DEFAULT,no,enginr,,morgan.smith@gmail.com,Account dormant >6 months
CUST-2092,TXN905528,56,Male,fixed deposit,CHI,09-Jun-2020,06/19/2023,4726.87,eur,1783.28,withdrawal,755,3379.77,,,Teacher,6660.57,taylor.moore@gmail.com,Loan disbursed to account
CUST-1809,TXN968015,,female,FD,CHI,19/05/2022,2022-09-06,431.62,USD,94.63,DEPOSIT,661,4384.7,,YES,Teacher,925.08,mike.jackson@yahoo.com,KYC documents pending
CUST-1658,TXN855608,26,Male,savings,New York,23/07/2018,14/10/2022,1759.66,USD,621.65,Transfer,584,,active,yes,Lawyer,,john.smith@yahoo.com,
CUST-1531,TXN218124,52,MALE,FD,los angeles,05/05/2021,12/15/2021,14166.96, USD,2830.1,Transfer,703,2774.27,DEFAULT,Yes,LAWYER,6156.41,pat.davis@bank.org,Loan disbursed to account
